GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AllTests (13/dez/2019 0:03:23)/ES1-2019-EIC1-42/src/main/java,pt.iul.ista.ES1_2019_EIC1_42.gui,ExcelData.new ActionListener() {...},3,6,0,0,2,1,1,1,1,1
AllTests (13/dez/2019 0:03:23)/ES1-2019-EIC1-42/src/main/java,pt.iul.ista.ES1_2019_EIC1_42.gui,Nova_Regra.SaveListenerCreate,4,6,0,0,2,1,1,1,1,1
AllTests (13/dez/2019 0:03:23)/ES1-2019-EIC1-42/src/main/java,pt.iul.ista.ES1_2019_EIC1_42.gui,ExcelData.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
AllTests (13/dez/2019 0:03:23)/ES1-2019-EIC1-42/src/main/java,pt.iul.ista.ES1_2019_EIC1_42.gui,ExcelData,26,179,0,0,5,37,1,5,1,5
AllTests (13/dez/2019 0:03:23)/ES1-2019-EIC1-42/src/main/java,pt.iul.ista.ES1_2019_EIC1_42.gui,ExcelData.new JTable() {...},7,24,0,0,1,8,0,2,0,2
AllTests (13/dez/2019 0:03:23)/ES1-2019-EIC1-42/src/main/java,pt.iul.ista.ES1_2019_EIC1_42.gui,Nova_Regra,225,602,16,4,53,124,11,18,3,16
AllTests (13/dez/2019 0:03:23)/ES1-2019-EIC1-42/src/main/java,pt.iul.ista.ES1_2019_EIC1_42.gui,Comparador_de_Qualidade,451,841,100,38,53,162,59,44,1,33
AllTests (13/dez/2019 0:03:23)/ES1-2019-EIC1-42/src/main/java,pt.iul.ista.ES1_2019_EIC1_42.gui,Nova_Regra.new KeyAdapter() {...},38,6,6,0,7,1,4,1,1,1
AllTests (13/dez/2019 0:03:23)/ES1-2019-EIC1-42/src/main/java,pt.iul.ista.ES1_2019_EIC1_42.gui,Comparador_de_Qualidade.new ActionListener() {...},4,6,0,0,2,1,1,1,1,1
AllTests (13/dez/2019 0:03:23)/ES1-2019-EIC1-42/src/main/java,pt.iul.ista.ES1_2019_EIC1_42.gui,ExcelData.new ActionListener() {...},6,6,0,0,2,1,1,1,1,1
AllTests (13/dez/2019 0:03:23)/ES1-2019-EIC1-42/src/main/java,pt.iul.ista.ES1_2019_EIC1_42.gui,Nova_Regra.new ItemListener() {...},0,74,1,3,0,12,1,3,0,2
AllTests (13/dez/2019 0:03:23)/ES1-2019-EIC1-42/src/main/java,pt.iul.ista.ES1_2019_EIC1_42.gui,Nova_Regra.new ActionListener() {...},0,15,0,0,0,3,0,2,0,2
AllTests (13/dez/2019 0:03:23)/ES1-2019-EIC1-42/src/main/java,pt.iul.ista.ES1_2019_EIC1_42.gui,Nova_Regra.new ActionListener() {...},4,6,0,0,2,1,1,1,1,1
AllTests (13/dez/2019 0:03:23)/ES1-2019-EIC1-42/src/main/java,pt.iul.ista.ES1_2019_EIC1_42.gui,Nova_Regra.new MouseAdapter() {...},26,34,5,3,4,7,4,2,0,2
AllTests (13/dez/2019 0:03:23)/ES1-2019-EIC1-42/src/main/java,pt.iul.ista.ES1_2019_EIC1_42.gui,Nova_Regra.new ActionListener() {...},11,26,3,1,1,5,2,2,0,2
AllTests (13/dez/2019 0:03:23)/ES1-2019-EIC1-42/src/main/java,pt.iul.ista.ES1_2019_EIC1_42.gui,Nova_Regra.SaveListenerEdit,4,6,0,0,2,1,1,1,1,1
